0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
-27.328882,-31.041157,-33.82543,-43.161255,-45.27928,-42.183746,-51.694633,-56.852283,-48.385254,-53.90178,-50.494827,-54.53461,-48.674973,-55.79676,-52.880436,-57.530815,-57.242874,-58.894478,-63.175613,-63.01245,-61.486443,-69.56308,-67.215164,-74.18019,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-27.088953,-34.855164,-36.232224,-42.60306,-45.281494,-46.219738,-48.676117,-54.47897,-46.942455,-49.169796,-54.525192,-50.55941,-52.83893,-52.4662,-52.389137,-58.077293,-60.10987,-55.135326,-65.24402,-58.4506,-62.38282,-61.79892,-64.345856,-74.715935,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-28.68727,-36.004845,-37.556328,-41.912117,-46.54255,-44.137268,-47.96586,-53.6864,-43.719563,-54.61811,-53.903336,-48.739227,-53.64483,-53.160088,-53.857952,-56.568886,-55.16671,-58.266693,-64.46514,-58.722305,-62.13641,-61.124893,-64.72769,-71.66401,-78.98068,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-27.916264,-32.18416,-31.947254,-38.4905,-44.001427,-43.661446,-47.713898,-50.55771,-45.371193,-48.039944,-52.138733,-47.777325,-51.54198,-53.212357,-57.253407,-54.048813,-56.19726,-53.74892,-58.91834,-63.55272,-57.228638,-64.03258,-61.789787,-77.42238,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-30.21222,-37.009712,-43.472916,-43.667194,-47.88596,-43.490482,-44.52684,-51.722298,-47.473846,-54.291046,-52.79898,-52.63881,-55.888374,-53.19669,-54.939064,-60.830826,-57.689896,-59.010616,-59.97154,-59.922005,-63.767616,-61.40783,-62.73449,-75.23679,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-39.348057,-44.156906,-41.735367,-48.92351,-51.400238,-49.723495,-49.656868,-57.324066,-47.792755,-55.13037,-56.803596,-50.783493,-55.942627,-57.429516,-54.3489,-58.7472,-60.53149,-63.95359,-64.67646,-70.47403,-68.975555,-65.22543,-69.053795,-75.67001,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-26.901049,-34.599564,-36.286377,-42.913406,-48.410286,-46.2957,-48.825066,-54.3907,-52.70516,-51.04938,-52.10206,-49.714123,-50.50461,-56.248158,-55.181564,-66.67883,-60.069275,-59.231678,-59.302906,-58.058563,-63.734367,-61.04888,-62.71026,-75.66146,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-27.736448,-35.15283,-39.163322,-45.292953,-47.726295,-45.243584,-48.21396,-53.72967,-50.884605,-58.242943,-52.850124,-52.523067,-52.808907,-52.568962,-55.749863,-60.713997,-59.788902,-60.216846,-65.005005,-63.66337,-60.454193,-64.19069,-65.05196,-75.80022,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-26.091858,-34.384323,-38.115578,-42.542572,-47.964325,-46.877945,-48.816025,-53.543747,-51.330738,-52.83393,-53.61664,-51.74106,-56.37629,-59.41192,-55.663757,-54.705593,-59.182564,-58.79322,-67.37472,-62.128902,-63.764977,-63.758213,-64.65463,-78.49419,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-24.145115,-27.878265,-32.240814,-40.184093,-46.705067,-39.274044,-41.353973,-50.377655,-44.92018,-47.45713,-47.565315,-50.203403,-54.008034,-46.044044,-53.400246,-55.21151,-56.505623,-57.315804,-56.364677,-58.323414,-55.423042,-60.343987,-60.37992,-76.06133,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
